symbol,timestamp,signal,entry_ltp,exit_ltp,pnl,target,SMMA20,SMMA120,SMMA_gap,price_change_pct,volume
NSE_TCS-EQ,1771313400,BUY,2750.5,2733.5,-17.0,0,2740.3270649082224,2740.169037738199,0.15802717002316058,0.014544925639070977,29849
NSE_TCS-EQ,1771317300,SELL,2730.7,2720.1,10.599999999999909,1,2739.9690065673794,2740.233779777738,-0.2647732103587259,-0.10243277848912316,27954
NSE_KOTAKBANK-EQ,1771318500,BUY,423.9,424.3,0.4000000000000341,1,423.502699033883,423.4935884608085,0.009110573074508466,-0.05894141223623719,41789
NSE_INFY-EQ,1771388100,SELL,1360.0,1361.5,-1.5,0,1389.9676885527567,1390.245057419762,-0.2773688670051797,0.08094782544704607,518828
NSE_KOTAKBANK-EQ,1771391400,SELL,422.7,422.7,0.0,0,423.541724196247,423.5495815906851,-0.007857394438076426,-0.011827321111770874,43659
NSE_HDFCBANK-EQ,1771392000,SELL,921.65,922.6,-0.9500000000000455,0,923.7935358037848,923.8786280165025,-0.08509221271765455,-0.01627251030592073,102958
NSE_RELIANCE-EQ,1771400700,BUY,1435.5,1436.2,0.7000000000000455,1,1428.136243242601,1428.1306643597243,0.0055788828767617815,0.07668711656441084,154181
NSE_KOTAKBANK-EQ,1771405200,BUY,426.45,424.6,-1.849999999999966,0,423.5514246926624,423.43815774894335,0.11326694371905432,0.16441573693481823,104903
NSE_INFY-EQ,1771476600,BUY,1392.1,1389.1,-3.0,0,1381.9799370541125,1381.727578767334,0.2523582867784171,-0.12196871861099481,144409
NSE_RELIANCE-EQ,1771482300,SELL,1424.8,1419.0,5.7999999999999545,1,1429.6402873128923,1429.8094932209483,-0.16920590805602842,-0.042093447453356,32457
NSE_KOTAKBANK-EQ,1771484700,SELL,421.5,418.5,3.0,1,423.80213792622726,423.8065449351557,-0.004407008928467349,-0.09480919649205435,50036
NSE_AXISBANK-EQ,1771492800,SELL,1355.4,1360.1,-4.699999999999818,0,1361.5115983888095,1361.644723306975,-0.1331249181655494,0.0,27005
NSE_INFY-EQ,1771493700,SELL,1373.9,1351.6,22.300000000000182,1,1382.8964727578536,1383.1852461864696,-0.28877342861596844,-0.18888485288775222,751012
NSE_SBIN-EQ,1771494300,SELL,1203.8,1208.7,-4.900000000000091,0,1210.490260688886,1210.7052193988493,-0.21495870996318445,-0.24859131587669872,301832
NSE_AXISBANK-EQ,1771563600,BUY,1367.4,1371.6,4.199999999999818,1,1361.5228138325915,1361.4532323976773,0.06958143491419833,-0.029244041526528996,26946
NSE_SBIN-EQ,1771577400,BUY,1211.6,1217.5,5.900000000000091,1,1209.9734431253805,1209.908344678426,0.06509844695460743,-0.03300330033004051,37190
NSE_KOTAKBANK-EQ,1771818900,BUY,426.2,427.05,0.8500000000000227,1,422.0813179663602,421.93520394932347,0.146114017036723,0.1998354296461657,118593
NSE_RELIANCE-EQ,1771819200,BUY,1433.2,1425.9,-7.2999999999999545,0,1423.6813659201007,1423.6685447426037,0.012821177497016834,-0.0279017857142762,87994
NSE_ICICIBANK-EQ,1771820700,BUY,1407.6,1401.4,-6.199999999999818,0,1399.578070551233,1399.3542260769473,0.22384447428567,0.07820831852114533,98619
NSE_HDFCBANK-EQ,1771822500,BUY,922.7,921.65,-1.0500000000000682,0,918.6506180313365,918.6391939585558,0.011424072780755523,-0.0649842954619202,83324
NSE_RELIANCE-EQ,1771829700,SELL,1420.8,1424.7,-3.900000000000091,0,1423.9030820574142,1424.0082247168893,-0.10514265947517742,-0.021110407430860217,28894
NSE_ICICIBANK-EQ,1771833900,SELL,1396.8,1400.2,-3.400000000000091,0,1399.8709876851856,1399.8989597694374,-0.027972084251814522,-0.08583690987124788,339793
NSE_RELIANCE-EQ,1771839600,BUY,1428.8,1420.1,-8.700000000000045,0,1424.1333972526554,1423.9364044242639,0.19699282839155785,0.04201092283993201,211687
NSE_RELIANCE-EQ,1771906800,SELL,1420.7,1416.0,4.7000000000000455,1,1423.79287525495,1423.9190469247035,-0.12617166975337568,-0.09844596019969508,36450
NSE_LT-EQ,1771917300,SELL,4272.1,4236.3,35.80000000000018,1,4357.106252531685,4357.624163380867,-0.5179108491820443,-0.4242127590145169,57584
NSE_HDFCBANK-EQ,1771917300,SELL,915.95,913.1,2.8500000000000227,1,919.7807123495613,919.889572402638,-0.10886005307668256,-0.13628434365460096,217794
NSE_RELIANCE-EQ,1771923900,BUY,1427.3,1434.4,7.100000000000136,1,1423.1125945294818,1423.016774561272,0.09581996820975291,0.028032798374088133,100108
NSE_SBIN-EQ,1771996500,SELL,1212.5,1210.3,2.2000000000000455,1,1220.5827919580133,1220.762088448704,-0.1792964906906036,-0.1975471232200256,195447
NSE_KOTAKBANK-EQ,1771998000,SELL,424.35,424.25,0.10000000000002274,1,427.0848454691015,427.15659457844947,-0.07174910934799072,-0.21164021164020627,74505
NSE_ICICIBANK-EQ,1772001000,BUY,1399.9,1399.8,-0.10000000000013642,0,1395.5958239545043,1395.5889481725294,0.0068757819749407645,0.035729598399313986,93842
NSE_RELIANCE-EQ,1772005200,SELL,1412.4,1410.9,1.5,1,1424.7514158435567,1424.9228125673558,-0.1713967237990346,-0.007079646017692676,39923
NSE_TCS-EQ,1772079900,BUY,2658.2,2647.2,-11.0,0,2636.9001202800364,2636.7461987906354,0.15392148940100014,0.0451637184794813,18831
NSE_AXISBANK-EQ,1772167200,SELL,1387.6,1389.9,-2.300000000000182,0,1391.688802619717,1391.8565556691492,-0.16775304943212177,0.0,13913
NSE_ICICIBANK-EQ,1772168100,SELL,1392.6,1389.4,3.199999999999818,1,1399.3387379220899,1399.3399279099015,-0.0011899878115855245,0.0,46977
NSE_INFY-EQ,1772172600,BUY,1306.9,1304.4,-2.5,0,1303.0121010881605,1303.0110294847975,0.0010716033630160382,0.007652280379563546,46266
NSE_TCS-EQ,1772182500,SELL,2634.8,2639.7,-4.899999999999636,0,2642.983435488225,2643.254413030049,-0.2709775418238678,-0.16293433367434834,34330
NSE_INFY-EQ,1772423400,SELL,1293.3,1294.1,-0.7999999999999545,0,1303.257441355017,1303.6088527302993,-0.35141137528239597,0.2325040688212044,252568
NSE_INFY-EQ,1772599500,BUY,1307.4,1305.8,-1.6000000000001364,0,1296.8653103954225,1296.6041927300982,0.2611176653242637,-0.09170105456211357,96445
NSE_RELIANCE-EQ,1772687700,BUY,1382.5,1381.6,-0.900000000000091,0,1366.2465183878967,1366.1242701027438,0.1222482851528639,-0.11559858391734046,222653
NSE_INFY-EQ,1772689200,SELL,1293.5,1298.8,-5.2999999999999545,0,1299.1020394825196,1299.1295414078493,-0.02750192532971596,-0.05408746716118416,44708
NSE_INFY-EQ,1772698200,BUY,1300.1,1306.6,6.5,1,1298.9257360168183,1298.9112831065215,0.014452910296768096,0.007692307692300697,93447
NSE_TCS-EQ,1772775300,BUY,2595.0,2581.3,-13.699999999999818,0,2591.1408375486926,2591.1041441775983,0.03669337109431581,0.09257116408239185,19656
NSE_TCS-EQ,1772776200,SELL,2589.5,2578.7,10.800000000000182,1,2591.0749630933105,2591.0947298600563,-0.019766766745760833,-0.019305019305019305,11425
NSE_INFY-EQ,1773030000,SELL,1294.6,1298.8,-4.2000000000000455,0,1304.6475000709788,1304.9446690579005,-0.2971689869216334,0.30216161772680433,104645
NSE_INFY-EQ,1773048300,BUY,1311.2,1298.5,-12.700000000000045,0,1303.3227087562418,1303.0626948796807,0.2600138765610609,-0.09143553794575171,118382
NSE_INFY-EQ,1773117600,SELL,1298.4,1297.0,1.400000000000091,1,1303.2069659523606,1303.296585775967,-0.08961982360642651,0.131102028225499,66694
NSE_AXISBANK-EQ,1773134400,BUY,1313.7,1304.3,-9.400000000000091,0,1310.3040981243844,1310.2046177844245,0.09948033995988226,0.11431184270690442,185849
NSE_AXISBANK-EQ,1773202200,SELL,1302.0,1285.0,17.0,1,1309.8779464066174,1310.2040923140291,-0.32614590741172833,-0.17633979912596448,59592
NSE_RELIANCE-EQ,1773208800,SELL,1397.7,1400.8,-3.099999999999909,0,1404.5335227453534,1404.7663302987116,-0.23280755335827052,-0.17854592201114128,96222
NSE_RELIANCE-EQ,1773297000,BUY,1409.7,1403.3,-6.400000000000091,0,1401.914425435336,1401.896254103098,0.01817133223789824,0.08519701810436957,88530
NSE_RELIANCE-EQ,1773308400,SELL,1390.6,1393.8,-3.2000000000000455,0,1401.9662190255472,1402.4126063291274,-0.4463873035801953,-0.3439873871291516,1652651
NSE_HDFCBANK-EQ,1773646200,BUY,831.75,828.45,-3.2999999999999545,0,828.8047293715297,828.7175826438545,0.08714672767519005,-0.01803101334294714,486276
NSE_ICICIBANK-EQ,1773720300,BUY,1281.1,1283.1,2.0,1,1265.9498346434946,1265.530010121289,0.4198245222055448,0.1250488472059327,90457
NSE_RELIANCE-EQ,1773720300,BUY,1400.7,1399.0,-1.7000000000000455,0,1389.5035518709235,1389.3187808998714,0.18477097105210305,0.05000000000000324,100944
